,iati id,project,description_narrative,sector code,sector name,publisher,provider/buyer,year,default_currency,disbursment
10,CH-4-2012006302,Programme d'hydraulique rurale N71,"Le programme renforcera les capacités des différents acteurs parties prenantes pour qu’ils soient à terme capables de porter eux-mêmes et de façon durable le dispositif et les investissements réalisés. Il établira des mécanismes de financement des infrastructures basés sur l’expérience de la DDC au Niger (notamment le Fonds de Soutien aux Investissements Locaux\, FSILs) et préparera les communes à la mise en place éventuelle d’un dispositif national d’investissement (l’Agence Nationale pour l’Investissement des Collectivités Territoriales attendue d’ici 2012) auquel la DDC pourrait envisager de contribuer une fois opérationnel. Le programme travaillera en coordination avec le Programme d’Appui au Secteur de l’Elevage (PASEL) pour soutenir la mise en œuvre de la stratégie d’intervention nationale en matière d’hydraulique pastorale (en préparation) dans les régions de Maradi et Dosso.",14030,Basic drinking water supply and basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2018,CHF,963490
11,CH-4-2012006303,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2018,CHF,1300000
12,CH-4-2012006304,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14031,Basic drinking water supply,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernement local (SUD/EST)",2018,CHF,2095069
13,CH-4-2012006605,Programme d'hydraulique rurale N71,"Le programme renforcera les capacités des différents acteurs parties prenantes pour qu’ils soient à terme capables de porter eux-mêmes et de façon durable le dispositif et les investissements réalisés. Il établira des mécanismes de financement des infrastructures basés sur l’expérience de la DDC au Niger (notamment le Fonds de Soutien aux Investissements Locaux\, FSILs) et préparera les communes à la mise en place éventuelle d’un dispositif national d’investissement (l’Agence Nationale pour l’Investissement des Collectivités Territoriales attendue d’ici 2012) auquel la DDC pourrait envisager de contribuer une fois opérationnel. Le programme travaillera en coordination avec le Programme d’Appui au Secteur de l’Elevage (PASEL) pour soutenir la mise en œuvre de la stratégie d’intervention nationale en matière d’hydraulique pastorale (en préparation) dans les régions de Maradi et Dosso.",14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2018,CHF,-973977
14,CH-4-2012006605,Programme d'hydraulique rurale N71,"Le programme renforcera les capacités des différents acteurs parties prenantes pour qu’ils soient à terme capables de porter eux-mêmes et de façon durable le dispositif et les investissements réalisés. Il établira des mécanismes de financement des infrastructures basés sur l’expérience de la DDC au Niger (notamment le Fonds de Soutien aux Investissements Locaux\, FSILs) et préparera les communes à la mise en place éventuelle d’un dispositif national d’investissement (l’Agence Nationale pour l’Investissement des Collectivités Territoriales attendue d’ici 2012) auquel la DDC pourrait envisager de contribuer une fois opérationnel. Le programme travaillera en coordination avec le Programme d’Appui au Secteur de l’Elevage (PASEL) pour soutenir la mise en œuvre de la stratégie d’intervention nationale en matière d’hydraulique pastorale (en préparation) dans les régions de Maradi et Dosso.",14030,Basic drinking water supply and basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2018,CHF,-973977
15,CH-4-2012006303,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2019,CHF,1956018
16,CH-4-2012006304,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14031,Basic drinking water supply,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernement local (SUD/EST)",2019,CHF,1619048
17,CH-4-2016003379,Niger: UNICEF Secondment WASH,"Depuis la reprise des combats entre les armées nationales de quatre pays et le groupe armé Boko Haram en 2015\, provoquant le déplacement massif de plus de 2\,6 million de personnes à travers la région\, la pression sur les ressources des communautés hôtes et les infrastructures existantes s'est trouvée décuplée\, notamment au Niger. Le présent projet vise à renforcer l'équipe technique de l'UNICEF de ce pays\, laquelle supervise la coordination des projets humanitaires relatifs à l'eau\, l'hygiène et à l'assainissement.",14032,Basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernment central (CH)",2019,CHF,1388
18,CH-4-2012006303,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2020,CHF,1473400
19,CH-4-2012006304,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14031,Basic drinking water supply,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernement local (SUD/EST)",2020,CHF,1000000
20,CH-4-2012006305,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2020,CHF,28480
21,CH-4-2012006758,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2020,CHF,217033
22,CH-4-2014005662,Programme d’Appui à la Petite Irrigation (PAPI),"Au Niger\, la sécurité alimentaire des populations est dépendante des performances des exploitations familiales agropastorales. Cependant\, même lors des années de bonne récolte\, les paysans ne parviennent plus à assurer la sécurité alimentaire de leurs propres familles. En cas d’accès facile à l’eau\, la culture maraîchère irriguée représente une opportunité à la diversification des activités\, la sécurisation des revenus des ménages et à la modernisation des agricultures familiales.",14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2020,CHF,-233207
23,CH-4-2021-2012006303,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2021,CHF,1582725
24,CH-4-2021-2012006304,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14031,Basic drinking water supply,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernement local (SUD/EST)",2021,CHF,1016949
25,CH-4-2021-2012006305,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2021,CHF,33975
26,CH-4-2021-2012006758,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2021,CHF,217033
27,CH-4-2021-2012006841,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2021,CHF,88536
28,CH-4-2021-2012006842,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2021,CHF,200000
29,CH-4-2021-2012006843,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2021,CHF,413652
30,CH-4-2021-2021001105,Niger - Fonds hydraulique MCF PROSEHA,No description for this activity available at this point. Description indisponible pour cette activité.,14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernement central (SUD/EST)",2021,CHF,4200000
31,CH-4-2021-2021001105,Niger - Fonds hydraulique MCF PROSEHA,No description for this activity available at this point. Description indisponible pour cette activité.,14031,Basic drinking water supply,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernement central (SUD/EST)",2021,CHF,4200000
32,CH-4-2021-2021001105,Niger - Fonds hydraulique MCF PROSEHA,No description for this activity available at this point. Description indisponible pour cette activité.,14032,Basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernement central (SUD/EST)",2021,CHF,4200000
33,XM-DAC-3-1-133113-19042,"Programme d'Appui au Secteur Eau Hygiène et Assainissement (PASEHA)\, 2007-2009","Med udgangspunkt i Nigers fattigdomsstrategi vil programmet bidrage til at forbedre adgangen til bæredygtig drikkevandsforsyning og til private og offentlige latriner\, samt til at forbedre hygiejnen på landet og i mindre byer. \n\nProgrammet består af to komponenter: 1) støtte til drikkevandsforsyning\, hygiejne og sanitet (offentlige og private latriner) på landet med fokus på regionerne Zinder og Diffa; og 2) støtte til konkrete aktiviteter til opbygningen af forvaltningskapaciteten i de centrale og decentrale vandmyndigheder\, herunder etablering af et egentligt nationalt program for opfyldelsen af 2015-målene for vandforsyning og sanitet. \n\nProgrammet vil over en 3-årig periode dække ca. 115.000 menneskers behov for drikkevand gennem etablering af nye brønde\, håndpumper og små vandforsyningsanlæg\, såvel som forbedring\, rehabilitering og udvidelse af allerede eksisterende vandforsyningsinfrastruktur. En del af installationerne vil endvidere give mulighed for vanding af kvæg og husdyr. Sikring af en bæredygtig vedligeholdelse af installationerne gennem inddragelse af den private sektor og de nyetablerede kommuner vil være et centralt tema i støtten. Befolkningen vil endvidere have gennemgået intensiv hygiejneundervisning i hjemmet\, og mindst 3.000 hjem vil være forsynet med latriner.\n\nPå det forvaltningsmæssige plan vil sektorstøtten bidrage til at formulere et nationalt sektorprogram for vandforsyning og sanitet\, der i fremtiden skal fungere som en samlende planlægningsramme for såvel donorer som nationale aktører ledende hen imod opnåelsen af 2015 målene på vand- og sanitet\, samt til at sikre en bæredygtig forvaltning og udnyttelse af landets sparsomme vandressourcer.\n\nProgrammet er lukket. Programmets aktiviteter blev gennemført og afsluttet i perioden 2009-2012.",14030,Basic drinking water supply and basic sanitation,"Ministry of Foreign Affairs\, Denmark","Ministry of Water\, Environment and the Fight Against Desertification,Ministry of Foreign Affairs\, Denmark",2017,DKK,-96424
34,XM-DAC-3-1-199679-25948,"Programme d'Appui au Secteur Eau\, Hygiène et Assanissement au Niger (PASEHA2)\, 2012-2016",Programme activities ended in June 2017.,14030,Basic drinking water supply and basic sanitation,"Ministry of Foreign Affairs\, Denmark","Ministry of Finance,Ministry of Foreign Affairs\, Denmark",2017,DKK,-115295
35,XM-DAC-3-1-199679-25950,"Programme d'Appui au Secteur Eau\, Hygiène et Assanissement au Niger (PASEHA2)\, 2012-2016",Programme activities ended in June 2017.,14030,Basic drinking water supply and basic sanitation,"Ministry of Foreign Affairs\, Denmark","Ministry of Finance,Ministry of Foreign Affairs\, Denmark",2017,DKK,2463486
36,XM-DAC-3-1-199679-25952,"Programme d'Appui au Secteur Eau\, Hygiène et Assanissement au Niger (PASEHA2)\, 2012-2016",Programme activities ended in June 2017.,14030,Basic drinking water supply and basic sanitation,"Ministry of Foreign Affairs\, Denmark","Ministry of Finance,Ministry of Foreign Affairs\, Denmark",2017,DKK,588312
37,XM-DAC-3-1-199679-25973,"Programme d'Appui au Secteur Eau\, Hygiène et Assanissement au Niger (PASEHA2)\, 2012-2016",Programme activities ended in June 2017.,14030,Basic drinking water supply and basic sanitation,"Ministry of Foreign Affairs\, Denmark","Ministry of Finance,Ministry of Foreign Affairs\, Denmark",2017,DKK,2397932
38,XM-DAC-3-1-199679-25974,"Programme d'Appui au Secteur Eau\, Hygiène et Assanissement au Niger (PASEHA2)\, 2012-2016",Programme activities ended in June 2017.,14030,Basic drinking water supply and basic sanitation,"Ministry of Foreign Affairs\, Denmark","Ministry of Finance,Ministry of Foreign Affairs\, Denmark",2017,DKK,290320
39,XM-DAC-3-1-265858-32370,"Water and Sanitation Programme\, PASEHA 3",The Programme will contribute to ensure availability and sustainable management of water and sanitation for all in rural and semi-urban areas in line with the Niger Government's objective to ensure access to water and sanitation for all by 2030.,14020,Water supply and sanitation - large systems,"Ministry of Foreign Affairs\, Denmark","Luxembourg state treasury,Ministry of Foreign Affairs\, Denmark",2017,DKK,70500000
40,XM-DAC-3-1-265858-32371,"Water and Sanitation Programme\, PASEHA 3",The Programme will contribute to ensure availability and sustainable management of water and sanitation for all in rural and semi-urban areas in line with the Niger Government's objective to ensure access to water and sanitation for all by 2030.,14020,Water supply and sanitation - large systems,"Ministry of Foreign Affairs\, Denmark","Luxembourg state treasury,Ministry of Foreign Affairs\, Denmark",2017,DKK,20000000
41,XM-DAC-3-1-265858-32372,"Water and Sanitation Programme\, PASEHA 3",The Programme will contribute to ensure availability and sustainable management of water and sanitation for all in rural and semi-urban areas in line with the Niger Government's objective to ensure access to water and sanitation for all by 2030.,14020,Water supply and sanitation - large systems,"Ministry of Foreign Affairs\, Denmark","Luxembourg state treasury,Ministry of Foreign Affairs\, Denmark",2017,DKK,5500000
42,XM-DAC-3-1-265858-32373,"Water and Sanitation Programme\, PASEHA 3",The Programme will contribute to ensure availability and sustainable management of water and sanitation for all in rural and semi-urban areas in line with the Niger Government's objective to ensure access to water and sanitation for all by 2030.,14020,Water supply and sanitation - large systems,"Ministry of Foreign Affairs\, Denmark","Luxembourg state treasury,Ministry of Foreign Affairs\, Denmark",2017,DKK,4000000
43,XM-DAC-3-1-265858-32370,"Water and Sanitation Programme\, PASEHA 3",The Programme will contribute to ensure availability and sustainable management of water and sanitation for all in rural and semi-urban areas in line with the Niger Government's objective to ensure access to water and sanitation for all by 2030.,14020,Water supply and sanitation - large systems,"Ministry of Foreign Affairs\, Denmark","Luxembourg state treasury,Ministry of Foreign Affairs\, Denmark",2018,DKK,75000000
