,iati_identifier,reporting_org_narrative,title_narrative,description_narrative,participating_org_narrative,contact_info_organisation_narrative,recipient_country_code,sector_code,sector,sector_narrative,transaction_transaction_type_code,transaction_transaction_date_iso_date,transaction_value,default_currency,transaction_description_narrative,transaction_provider_org_ref,transaction_provider_org_narrative,year,month,day
12,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-03-31T00:00:00Z,3136820,USD,Total Disbursement in First Quarter of 2016,44002,International Development Association,2016,3,31
13,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-06-30T00:00:00Z,1335818,USD,Total Disbursement in Second Quarter of 2016,44002,International Development Association,2016,6,30
14,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-06-30T00:00:00Z,973864,USD,Total Disbursement in Second Quarter of 2016,44002,International Development Association,2016,6,30
16,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-06-30T00:00:00Z,1980070,USD,Total Disbursement in Second Quarter of 2016,44002,International Development Association,2016,6,30
17,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-06-30T00:00:00Z,768786,USD,Total Disbursement in Second Quarter of 2017,44002,International Development Association,2017,6,30
18,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-09-30T00:00:00Z,24331,USD,Total Disbursement in Third Quarter of 2017,44002,International Development Association,2017,9,30
19,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-09-30T00:00:00Z,159604,USD,Total Disbursement in Third Quarter of 2017,44002,International Development Association,2017,9,30
20,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-12-31T00:00:00Z,2038436,USD,Total Disbursement in Fourth Quarter of 2017,44002,International Development Association,2017,12,31
21,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-12-31T00:00:00Z,32307,USD,Total Disbursement in Fourth Quarter of 2017,44002,International Development Association,2017,12,31
22,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-12-31T00:00:00Z,15,USD,Total Disbursement in Fourth Quarter of 2017,44002,International Development Association,2017,12,31
23,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2018-03-31T00:00:00Z,2957865,USD,Total Disbursement in First Quarter of 2018,44002,International Development Association,2018,3,31
24,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2020-09-30T00:00:00Z,876421,USD,Total Disbursement in Third Quarter of 2020,44002,International Development Association,2020,9,30
25,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2020-12-31T00:00:00Z,1566201,USD,Total Disbursement in Fourth Quarter of 2020,44002,International Development Association,2020,12,31
26,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2020-12-31T00:00:00Z,963371,USD,Total Disbursement in Fourth Quarter of 2020,44002,International Development Association,2020,12,31
27,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2020-12-31T00:00:00Z,2384979,USD,Total Disbursement in Fourth Quarter of 2020,44002,International Development Association,2020,12,31
28,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2021-03-31T00:00:00Z,589850,USD,Total Disbursement in First Quarter of 2021,44002,International Development Association,2021,3,31
29,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2021-03-31T00:00:00Z,126917,USD,Total Disbursement in First Quarter of 2021,44002,International Development Association,2021,3,31
31,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2021-03-31T00:00:00Z,1542971,USD,Total Disbursement in First Quarter of 2021,44002,International Development Association,2021,3,31
32,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2018-06-30T00:00:00Z,647428,USD,Total Disbursement in Second Quarter of 2018,44002,International Development Association,2018,6,30
33,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2018-06-30T00:00:00Z,810251,USD,Total Disbursement in Second Quarter of 2018,44002,International Development Association,2018,6,30
35,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2018-09-30T00:00:00Z,76279,USD,Total Disbursement in Third Quarter of 2018,44002,International Development Association,2018,9,30
36,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2018-09-30T00:00:00Z,329299,USD,Total Disbursement in Third Quarter of 2018,44002,International Development Association,2018,9,30
37,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2018-09-30T00:00:00Z,13461,USD,Total Disbursement in Third Quarter of 2018,44002,International Development Association,2018,9,30
39,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2018-09-30T00:00:00Z,58112,USD,Total Disbursement in Third Quarter of 2018,44002,International Development Association,2018,9,30
40,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2014-12-31T00:00:00Z,6242617,USD,Total Disbursement in Fourth Quarter of 2014,44002,International Development Association,2014,12,31
42,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-06-30T00:00:00Z,1518747,USD,Total Disbursement in Second Quarter of 2015,44002,International Development Association,2015,6,30
43,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-12-31T00:00:00Z,1449429,USD,Total Disbursement in Fourth Quarter of 2015,44002,International Development Association,2015,12,31
44,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-12-31T00:00:00Z,2741323,USD,Total Disbursement in Fourth Quarter of 2015,44002,International Development Association,2015,12,31
45,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-03-31T00:00:00Z,1914585,USD,Total Disbursement in First Quarter of 2016,44002,International Development Association,2016,3,31
46,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",2,2016-06-30T00:00:00Z,60000000,USD,Total Commitment in Second Quarter of 2016,44002,International Development Association,2016,6,30
47,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",2,2016-06-30T00:00:00Z,10000000,USD,Total Commitment in Second Quarter of 2016,44002,International Development Association,2016,6,30
48,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-09-30T00:00:00Z,1520554,USD,Total Disbursement in Third Quarter of 2016,44002,International Development Association,2016,9,30
49,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-09-30T00:00:00Z,1938886,USD,Total Disbursement in Third Quarter of 2016,44002,International Development Association,2016,9,30
50,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-12-31T00:00:00Z,2851115,USD,Total Disbursement in Fourth Quarter of 2016,44002,International Development Association,2016,12,31
52,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-12-31T00:00:00Z,693356,USD,Total Disbursement in Fourth Quarter of 2016,44002,International Development Association,2016,12,31
